method,seed,categories,auroc,average_precision
RBF_SVDD_nu_0.01,0,15,0.5308903735960029,0.7817977357841666
RBF_SVDD_nu_0.1,0,15,0.5320886679033453,0.7791496975250655
DeepSVDD_one-class,0,15,0.794330032402895,0.9102755813032357
DeepSVDD_soft-boundary,0,15,0.7660093740340755,0.8982498786996911
DROCC,0,15,0.4376717522967427,0.7313065891153259
PatchCore,0,15,0.9917955704175335,0.9976935215326733
Bubble_A+D,0,15,0.7356225314367634,0.8800690262257489
Bubble_B+D,0,15,0.7309075415847571,0.8760820303629349
